Identifer,Creator,Title ,Date,Description,Repository
AW.01,"Nawfal, Hind",al-Fat?t : jar?dah ‘ilm?yah t?r?kh?yah adab?yah fuk?h?yah,1892-1894,"Meaning “The Young Girl”. First Arab women's magazine, and one of the earliest periodicals in the region.The magazine’s main sections were science, education, history, literature, humor and household. It covered biographies of notable figures in addition to book reviews, poems, ethics and fashion articles.",American University of Beirut_Archives and Special Collections Department
AW.02,"Avierino, Alexandra",An?s al-Jal?s,1898-1908,"Meaning “The Intimate Companion”. Supporting Egyptian and Arab women's advancement in education and family matters, the articles mostly covered topics on parenting, home economics, fashion, interior decoration, furniture and beauty, using a beautiful and refined language. Anis al-Jalis was also the first women's magazine to publish advertisements. Almost a third of the journal was dedicated to advertising. ",American University of Beirut_Archives and Special Collections Department
AW.03,"Haddad, Rose Antun",Majallat al-sayyid?t wa-al-ban?t,1903-1906,"Meaning “The Ladies and Girls”. The journal promoted women’s advancement and supported women’s rights. It aimed to inspire and call on all women to take a more active role outside their families, and presented female employment opportunities in different jobs, other than their primary job as a wife and mother. In her first issue, Haddad stated that she would depend on European publications and reflect them in the articles. ",American University of Beirut_Archives and Special Collections Department
AW.04,"Hashim, Labiba",Fat?t al-Sharq : majallah adab?yah t?r?kh?yah riw?’?yah,1906-1939,"Meaning “The Young Woman of the East”. Fatat al-Sharq was one of the most famous women’s magazines in Egypt during that period, to the extent that it became, in its thirty-fourth volume, an advised textbook in basic education. The magazine dealt with the status of women in Arab society, and compared it to their status in Western societies, and called on women's political and social rights and demanded equality with men and women’s liberation from all restrictions. ",American University of Beirut_Archives and Special Collections Department
AW.05,"Ajami, Mary",al-?Ar?s : majallah nis?’?yah ?ilm?yah ?i???yah fuk?h?yah,1910-1914 and 1919-1926,"Meaning “The Bride”. The magazine contained three main sections: one for literature and history, another for domestic science, health, and childcare, and a third section for fiction, discussions, anecdotes, and recreations.",American University of Beirut_Archives and Special Collections Department
AW.06,"Yanni, Mary",M?nirf? : majallat adab wa-fan wa-ijtim??,1923-1932,"The magazine, named after Minerva, the Roman Goddess of Wisdom, was originally published monthly in 1916, in a handwritten format, but was suspended due to the scarcity of paper in Lebanon during World War I. Later, it was reissued as a magazine for “Literature, Art, and Sociology,” in print format. It contains several sections of the magazine to discussing women’s roles and achievements in the Nahda era, particularly in the fields of education and journalism. The magazine also presented social problems and concerns through short stories and other literary forms. Many elite male and female journalists contributed in M?nirf?, among them were Mari Ajami (founder of Al-?Ar?s journal), Kahlil Gibran, Huda Sha’rawi, Ibtihaj Kaddoura,and others.",American University of Beirut_Archives and Special Collections Department
AW.07,"Abi al-Lamaa, Najla",al-Fajr: majallah nis?’?yah akhl?q?yah tahdh?b?yah,1919-1924,"Meaning “The Dawn”. The aim of the journal was to bring general knowledge to women, who had less opportunities than men in general, and less access to education in specific. Al-Fajr emphasized women’s contributions and achievements; its articles focused on ethics, morals, poetry, and literature. It called for freedom of speech and invited women readers to share their thoughts and writings.",American University of Beirut_Archives and Special Collections Department
AW.08,"Dimashqiya, Julia",al-Mar?ah al-jad?dah : majallah gh?yatuh? bath r?? al-tarb?yah al-istiql?l?yah wa-ta?s?n al-?ay?t al-??’il?yah wa-tarqiyat al-mar’ah al-sur?yah adab?yan wa-?ilm?yan wa-ijtim???yan,1921-1927,"Meaning ""New Woman"". It was one of the leading women’s periodicals, and the most respected in Lebanon and the Arab World. The main sections of the journal were: Arab Women in Renaissance, Brides of the month, Health and Beauty, Literature, cooking, household, News, and a section for juvenile audience.",American University of Beirut_Archives and Special Collections Department
AW.09,"Sa'b, Afifa",al-Khidr : majallah nis?’?yah ?ilm?yah adab?yah.,1919-1927,"Meaning “A Woman’s Chamber”. Afifah’s objectives in publishing this journal were to enlighten women and educate girls, especially those who lived in the countryside, and who did not have access to schools. Al-Khidr is often regarded as the first Druze women’s magazine. Discussing the status of Druze women became a fixed topic in the articles Afifah published. The journal also focused on scientific, literary and health issues, as well as housekeeping. It welcomed all male and female writers of that era.  ",American University of Beirut_Archives and Special Collections Department
AW.10,"al Yusuf, Rose",R?z al-Y?suf : ?a??fah usb???yah adab?yah mu?awwarah,1925-  ,"The journal was started as a cultural and literary publication. Articles focused on arts, theatre, celebrity news, and famous actresses. In 1926, the journal took a political turn, and was considered the main journal for political opposition against the British colonization of Egypt at the time.",American University of Beirut_Archives and Special Collections Department
